Station Name,Latitude,Longitude
A00228,46.92694619,-122.2764913
A00229,46.92686243,-122.2633568
A00230,46.92677716,-122.2502223
A00231,46.92669039,-122.2370879
A00232,46.92660211,-122.2239536
A00233,46.92651233,-122.2108194
A00234,46.92642103,-122.1976852
A00235,46.92632824,-122.184551
A00236,46.92623393,-122.171417
A00237,46.92613812,-122.158283
A00238,46.9260408,-122.1451491
A00239,46.92594197,-122.1320152
A00240,46.92584164,-122.1188814
A00241,46.9257398,-122.1057477
A00242,46.92563646,-122.0926141
A00243,46.92553161,-122.0794805
A00244,46.92542525,-122.066347
A00245,46.92531739,-122.0532136
A00246,46.92520802,-122.0400802
A00247,46.92509714,-122.026947
A00248,46.92498476,-122.0138138
A00249,46.92487087,-122.0006807
A00250,46.92475548,-121.9875476
A00251,46.92463857,-121.9744147
A00252,46.92452017,-121.9612818
A00253,46.92440025,-121.9481491
A00254,46.92427883,-121.9350164
A00255,46.92415591,-121.9218837
A00256,46.92403147,-121.9087512
A00257,46.92390553,-121.8956188
A00258,46.92377809,-121.8824864
A00259,46.92364914,-121.8693542
A00260,46.92351868,-121.856222
A00261,46.92338672,-121.8430899
A00262,46.92325325,-121.829958
A00263,46.92311828,-121.8168261
A00264,46.9229818,-121.8036943
A00265,46.92284381,-121.7905626
A00266,46.92270432,-121.777431
A00267,46.92256332,-121.7642995
A00268,46.92242082,-121.7511681
A00269,46.92227681,-121.7380368
A00270,46.92213129,-121.7249056
A00271,46.92198427,-121.7117745
A00272,46.92183575,-121.6986435
A00273,46.92168571,-121.6855127
A00274,46.92153418,-121.6723819
A00275,46.92138113,-121.6592512
A00276,46.92122658,-121.6461206
A00277,46.92107053,-121.6329902
A00278,46.92091297,-121.6198598
A00279,46.9207539,-121.6067296
A00280,46.92059333,-121.5935995
A00281,46.92043126,-121.5804695
A00282,46.92026768,-121.5673396
A00283,46.92010259,-121.5542098
A00284,46.919936,-121.5410801
A00285,46.9197679,-121.5279506
A00286,46.9195983,-121.5148212
A00287,46.91942719,-121.5016919
A00288,46.91925458,-121.4885627
