,Longitude,Latitude,Vs30 (m/s),Depth (m),DepthToRock (m)
243,28.8178,40.9789,347.4,0.0,235.3
244,28.8207,40.9789,339.6,0.0,228.7
245,28.8237,40.9789,339.6,0.0,219.4
246,28.8267,40.9790,336.0,0.0,208.6
247,28.8296,40.9790,360.7,0.0,197.3
248,28.8326,40.9790,408.4,0.0,189.7
249,28.8356,40.9791,404.0,0.0,173.6
250,28.8386,40.9791,352.5,0.0,168.0
251,28.8415,40.9791,338.6,0.0,172.3
252,28.8445,40.9791,263.3,0.0,177.2
253,28.8475,40.9792,335.5,0.0,186.4
254,28.8504,40.9792,343.6,0.0,188.0
255,28.8534,40.9792,345.5,0.0,195.1
256,28.8564,40.9793,352.3,0.0,198.9
257,28.8593,40.9793,343.7,0.0,203.0
258,28.8623,40.9793,404.8,0.0,214.9
259,28.8653,40.9793,311.1,0.0,222.7
260,28.8683,40.9794,374.7,0.0,241.3
261,28.8712,40.9794,391.3,0.0,256.8
262,28.8742,40.9794,354.3,0.0,262.9
263,28.8772,40.9795,322.5,0.0,260.3
264,28.8801,40.9795,314.4,0.0,265.5
265,28.8831,40.9795,318.0,0.0,251.6
266,28.6752,40.9796,296.1,0.0,301.7
267,28.6781,40.9796,294.0,0.0,300.1
268,28.6811,40.9796,313.3,0.0,292.0
269,28.6841,40.9797,275.2,0.0,283.7
270,28.6871,40.9797,254.9,0.0,272.1
271,28.6900,40.9797,280.0,0.0,241.7
272,28.6930,40.9798,278.4,0.0,230.9
273,28.6960,40.9798,251.8,0.0,228.9
274,28.6989,40.9798,263.9,0.0,230.3
275,28.7019,40.9799,255.3,0.0,242.4
276,28.7049,40.9799,278.0,0.0,265.2
277,28.7078,40.9799,282.0,0.0,275.5
278,28.7108,40.9800,316.6,0.0,279.8
279,28.7138,40.9800,278.8,0.0,262.4
280,28.7168,40.9800,305.1,0.0,289.8
281,28.7197,40.9801,299.2,0.0,294.9
282,28.7227,40.9801,295.2,0.0,308.2
283,28.7257,40.9801,327.3,0.0,328.4
284,28.7286,40.9802,284.7,0.0,353.7
285,28.7316,40.9802,298.3,0.0,373.6
286,28.7346,40.9802,315.4,0.0,384.5
287,28.7375,40.9803,277.2,0.0,381.1
288,28.7405,40.9803,273.9,0.0,364.2
289,28.7435,40.9803,335.1,0.0,345.3
290,28.7465,40.9804,276.2,0.0,322.9
291,28.7494,40.9804,251.6,0.0,299.6
292,28.7732,40.9807,295.1,0.0,281.2
293,28.7762,40.9807,305.7,0.0,301.2
294,28.7791,40.9807,301.7,0.0,322.6
295,28.7821,40.9808,318.7,0.0,321.2
296,28.7851,40.9808,322.6,0.0,325.7
297,28.7880,40.9808,314.2,0.0,326.5
298,28.7910,40.9808,311.0,0.0,310.7
299,28.7940,40.9809,328.9,0.0,287.7
300,28.7969,40.9809,359.6,0.0,292.4
301,28.7999,40.9809,376.5,0.0,284.0
302,28.8029,40.9810,373.9,0.0,272.4
303,28.8058,40.9810,372.3,0.0,260.8
304,28.8088,40.9810,377.6,0.0,253.9
305,28.8118,40.9811,387.3,0.0,246.2
306,28.8148,40.9811,337.0,0.0,236.3
307,28.8177,40.9811,360.0,0.0,224.4
308,28.8207,40.9812,354.3,0.0,215.6
309,28.8237,40.9812,361.2,0.0,205.0
310,28.8266,40.9812,387.0,0.0,186.3
311,28.8296,40.9812,366.8,0.0,171.8
312,28.8326,40.9813,402.9,0.0,161.9
313,28.8355,40.9813,432.0,0.0,153.5
314,28.8385,40.9813,385.6,0.0,151.1
315,28.8415,40.9814,281.1,0.0,157.3
316,28.8445,40.9814,371.5,0.0,164.2
317,28.8474,40.9814,380.3,0.0,171.1
318,28.8504,40.9815,348.5,0.0,173.9
319,28.8534,40.9815,347.2,0.0,177.5
320,28.8563,40.9815,250.0,0.0,180.7
321,28.8593,40.9815,355.7,0.0,185.9
322,28.8623,40.9816,389.1,0.0,198.5
323,28.8652,40.9816,356.7,0.0,211.4
324,28.8682,40.9816,368.5,0.0,230.4
325,28.8712,40.9817,353.9,0.0,242.2
326,28.8742,40.9817,395.9,0.0,252.4
327,28.8771,40.9817,324.4,0.0,250.9
328,28.8801,40.9817,328.9,0.0,255.3
329,28.8831,40.9818,337.0,0.0,241.3
330,28.8860,40.9818,329.2,0.0,230.7
331,28.8890,40.9818,271.4,0.0,229.0
332,28.8979,40.9819,305.6,0.0,227.9
333,28.9009,40.9819,304.6,0.0,224.5
334,28.9039,40.9820,292.0,0.0,232.7
335,28.6751,40.9818,292.2,0.0,308.5
336,28.6781,40.9819,286.2,0.0,300.3
337,28.6811,40.9819,282.7,0.0,284.5
338,28.6840,40.9819,280.5,0.0,264.8
339,28.6870,40.9820,273.6,0.0,246.7
340,28.6900,40.9820,300.8,0.0,234.0
341,28.6930,40.9820,268.1,0.0,229.8
342,28.6959,40.9821,269.5,0.0,227.5
343,28.6989,40.9821,315.4,0.0,226.3
344,28.7019,40.9821,276.1,0.0,241.7
345,28.7048,40.9822,253.8,0.0,259.5
346,28.7078,40.9822,280.2,0.0,273.8
347,28.7108,40.9822,291.4,0.0,272.2
348,28.7137,40.9823,275.2,0.0,268.1
349,28.7167,40.9823,302.6,0.0,277.8
350,28.7197,40.9823,286.2,0.0,279.9
351,28.7227,40.9824,293.6,0.0,292.6
352,28.7256,40.9824,334.4,0.0,311.1
353,28.7286,40.9824,308.9,0.0,332.1
354,28.7316,40.9825,293.9,0.0,355.8
355,28.7345,40.9825,283.9,0.0,366.7
356,28.7375,40.9825,274.6,0.0,360.5
357,28.7405,40.9826,281.1,0.0,337.8
358,28.7434,40.9826,288.0,0.0,319.1
359,28.7464,40.9826,256.3,0.0,292.5
360,28.7494,40.9827,262.4,0.0,281.5
361,28.7523,40.9827,273.3,0.0,268.7
362,28.7553,40.9827,257.9,0.0,255.6
363,28.7583,40.9827,257.5,0.0,245.5
364,28.7613,40.9828,250.0,0.0,246.6
365,28.7702,40.9829,277.6,0.0,262.6
366,28.7731,40.9829,318.7,0.0,267.3
367,28.7761,40.9829,299.6,0.0,281.2
368,28.7791,40.9830,327.9,0.0,315.6
369,28.7820,40.9830,331.8,0.0,312.6
370,28.7850,40.9830,311.4,0.0,310.3
371,28.7880,40.9831,315.2,0.0,315.7
372,28.7910,40.9831,314.7,0.0,301.4
373,28.7939,40.9831,341.1,0.0,277.5
374,28.7969,40.9832,341.8,0.0,277.0
375,28.7999,40.9832,359.0,0.0,270.6
376,28.8028,40.9832,351.1,0.0,258.6
377,28.8058,40.9832,383.3,0.0,250.0
378,28.8088,40.9833,367.2,0.0,243.2
379,28.8117,40.9833,382.1,0.0,235.8
380,28.8147,40.9833,329.5,0.0,223.6
381,28.8177,40.9834,408.4,0.0,210.1
382,28.8207,40.9834,363.5,0.0,196.7
383,28.8236,40.9834,346.6,0.0,187.1
384,28.8266,40.9835,365.7,0.0,166.4
385,28.8296,40.9835,332.9,0.0,146.5
386,28.8325,40.9835,339.4,0.0,131.0
387,28.8355,40.9836,287.6,0.0,129.2
388,28.8385,40.9836,265.3,0.0,136.6
389,28.8414,40.9836,312.8,0.0,143.1
390,28.8444,40.9836,260.6,0.0,151.4
391,28.8474,40.9837,366.4,0.0,156.8
392,28.8504,40.9837,318.4,0.0,161.5
393,28.8533,40.9837,351.6,0.0,161.1
394,28.8563,40.9838,252.4,0.0,162.0
395,28.8593,40.9838,365.9,0.0,166.5
396,28.8622,40.9838,370.5,0.0,182.5
397,28.8652,40.9838,353.0,0.0,193.8
398,28.8682,40.9839,363.3,0.0,223.8
399,28.8712,40.9839,345.1,0.0,237.7
400,28.8741,40.9839,348.0,0.0,244.5
401,28.8771,40.9840,331.2,0.0,242.7
402,28.8801,40.9840,446.1,0.0,238.6
403,28.8830,40.9840,347.0,0.0,224.9
404,28.8860,40.9841,259.1,0.0,221.9
405,28.8890,40.9841,259.9,0.0,217.7
406,28.8919,40.9841,269.5,0.0,216.4
407,28.8949,40.9841,313.3,0.0,219.6
408,28.8979,40.9842,310.9,0.0,222.8
409,28.9009,40.9842,285.4,0.0,225.3
410,28.9038,40.9842,299.1,0.0,224.5
411,28.9068,40.9843,286.3,0.0,229.0
412,28.6751,40.9841,327.4,0.0,313.5
413,28.6781,40.9841,283.3,0.0,296.9
414,28.6810,40.9841,266.3,0.0,272.5
415,28.6840,40.9842,268.2,0.0,262.5
416,28.6870,40.9842,337.3,0.0,241.5
417,28.6899,40.9842,300.5,0.0,228.6
418,28.6929,40.9843,258.3,0.0,226.8
419,28.6959,40.9843,264.1,0.0,228.7
420,28.6988,40.9843,276.3,0.0,232.8
421,28.7018,40.9844,291.6,0.0,243.9
422,28.7048,40.9844,281.8,0.0,268.3
423,28.7078,40.9844,312.0,0.0,273.1
424,28.7107,40.9845,284.1,0.0,261.7
425,28.7137,40.9845,277.6,0.0,264.3
426,28.7167,40.9845,274.0,0.0,269.5
427,28.7196,40.9846,285.4,0.0,261.1
428,28.7226,40.9846,290.5,0.0,265.7
429,28.7256,40.9846,282.6,0.0,275.8
430,28.7285,40.9847,280.1,0.0,297.1
431,28.7315,40.9847,313.8,0.0,317.8
432,28.7345,40.9847,310.5,0.0,327.3
433,28.7375,40.9848,271.4,0.0,317.8
434,28.7404,40.9848,253.5,0.0,284.2
435,28.7434,40.9848,266.9,0.0,276.5
436,28.7582,40.9850,272.3,0.0,232.8
437,28.7612,40.9850,250.0,0.0,234.2
438,28.7642,40.9851,250.0,0.0,237.2
439,28.7672,40.9851,250.0,0.0,241.3
440,28.7701,40.9851,259.5,0.0,248.2
441,28.7731,40.9852,276.9,0.0,253.7
442,28.7761,40.9852,312.5,0.0,263.2
443,28.7790,40.9852,329.2,0.0,302.7
444,28.7820,40.9853,327.7,0.0,302.3
445,28.7850,40.9853,329.1,0.0,295.9
446,28.7879,40.9853,376.0,0.0,301.9
447,28.7909,40.9853,349.1,0.0,289.0
448,28.7939,40.9854,371.1,0.0,266.2
449,28.7969,40.9854,338.8,0.0,263.4
450,28.7998,40.9854,369.6,0.0,256.2
451,28.8028,40.9855,363.5,0.0,252.6
452,28.8058,40.9855,370.6,0.0,240.7
453,28.8087,40.9855,365.7,0.0,230.1
454,28.8117,40.9856,382.7,0.0,219.9
455,28.8147,40.9856,386.2,0.0,207.8
456,28.8176,40.9856,336.4,0.0,196.8
457,28.8206,40.9857,355.8,0.0,179.3
458,28.8236,40.9857,332.0,0.0,152.3
459,28.8266,40.9857,308.5,0.0,135.8
460,28.8295,40.9857,326.0,0.0,108.9
461,28.8325,40.9858,277.3,0.0,104.2
462,28.8355,40.9858,251.0,0.0,107.1
463,28.8384,40.9858,276.2,0.0,115.2
464,28.8414,40.9859,359.8,0.0,125.9
465,28.8444,40.9859,383.8,0.0,135.7
466,28.8473,40.9859,398.4,0.0,144.8
467,28.8503,40.9860,352.0,0.0,145.2
468,28.8533,40.9860,335.3,0.0,144.1
469,28.8563,40.9860,281.5,0.0,144.9
470,28.8592,40.9860,350.5,0.0,152.1
471,28.8622,40.9861,354.0,0.0,173.3
472,28.8652,40.9861,364.3,0.0,183.5
473,28.8681,40.9861,378.9,0.0,212.5
474,28.8711,40.9862,357.8,0.0,231.9
475,28.8741,40.9862,326.5,0.0,234.4
476,28.8771,40.9862,349.8,0.0,235.8
477,28.8800,40.9862,330.8,0.0,231.3
478,28.8830,40.9863,315.1,0.0,214.2
479,28.8860,40.9863,296.7,0.0,205.7
480,28.8889,40.9863,260.1,0.0,201.8
481,28.8919,40.9864,285.0,0.0,205.8
482,28.8949,40.9864,333.1,0.0,208.4
483,28.8978,40.9864,309.5,0.0,217.8
484,28.9008,40.9864,318.6,0.0,220.0
485,28.9038,40.9865,297.1,0.0,221.9
486,28.9068,40.9865,300.5,0.0,229.8
487,28.9097,40.9865,302.7,0.0,218.6
488,28.6750,40.9863,311.1,0.0,307.3
489,28.6780,40.9864,272.0,0.0,294.9
490,28.6810,40.9864,262.6,0.0,266.8
491,28.6840,40.9864,270.5,0.0,253.2
492,28.6869,40.9865,290.0,0.0,236.5
493,28.6899,40.9865,281.7,0.0,226.3
494,28.6929,40.9865,269.1,0.0,225.4
495,28.6958,40.9866,277.0,0.0,226.3
496,28.6988,40.9866,321.5,0.0,241.9
497,28.7018,40.9866,280.8,0.0,254.4
498,28.7047,40.9867,274.5,0.0,273.7
499,28.7077,40.9867,296.3,0.0,276.0
500,28.7107,40.9867,298.6,0.0,253.2
501,28.7137,40.9868,321.4,0.0,256.7
502,28.7166,40.9868,331.0,0.0,250.4
503,28.7196,40.9868,329.4,0.0,238.0
504,28.7226,40.9869,297.2,0.0,234.6
505,28.7255,40.9869,306.7,0.0,237.3
506,28.7285,40.9869,322.5,0.0,257.9
507,28.7315,40.9870,286.6,0.0,279.1
508,28.7344,40.9870,283.4,0.0,278.3
509,28.7374,40.9870,278.0,0.0,246.6
510,28.7671,40.9873,250.0,0.0,230.6
511,28.7701,40.9874,250.0,0.0,235.2
512,28.7731,40.9874,277.4,0.0,239.5
513,28.7760,40.9874,304.3,0.0,263.2
514,28.7790,40.9875,308.6,0.0,282.1
515,28.7820,40.9875,333.6,0.0,288.1
516,28.7849,40.9875,325.0,0.0,285.3
517,28.7879,40.9876,370.1,0.0,284.2
518,28.7909,40.9876,340.7,0.0,277.5
519,28.7938,40.9876,348.4,0.0,255.5
520,28.7968,40.9877,394.1,0.0,253.3
521,28.7998,40.9877,362.4,0.0,251.4
522,28.8028,40.9877,354.4,0.0,241.3
523,28.8057,40.9878,384.0,0.0,224.2
524,28.8087,40.9878,377.6,0.0,213.2
525,28.8117,40.9878,389.6,0.0,202.4
526,28.8146,40.9878,359.5,0.0,190.9
527,28.8176,40.9879,352.4,0.0,176.9
528,28.8206,40.9879,351.4,0.0,155.5
529,28.8235,40.9879,320.0,0.0,130.0
530,28.8265,40.9880,276.7,0.0,105.9
531,28.8295,40.9880,276.6,0.0,96.0
532,28.8325,40.9880,269.3,0.0,93.5
533,28.8354,40.9881,250.0,0.0,95.3
534,28.8384,40.9881,327.1,0.0,103.6
535,28.8414,40.9881,337.0,0.0,114.2
536,28.8443,40.9881,319.6,0.0,127.7
537,28.8473,40.9882,374.8,0.0,132.9
538,28.8503,40.9882,389.4,0.0,131.1
539,28.8533,40.9882,333.7,0.0,132.5
540,28.8562,40.9883,342.1,0.0,137.0
541,28.8592,40.9883,364.2,0.0,152.3
542,28.8622,40.9883,360.2,0.0,169.8
543,28.8651,40.9884,319.2,0.0,177.7
544,28.8681,40.9884,341.0,0.0,202.2
545,28.8711,40.9884,316.2,0.0,225.0
546,28.8740,40.9884,345.6,0.0,229.1
547,28.8770,40.9885,319.9,0.0,233.7
548,28.8800,40.9885,318.2,0.0,227.2
549,28.8830,40.9885,327.2,0.0,208.6
550,28.8859,40.9886,294.1,0.0,196.0
551,28.8889,40.9886,266.7,0.0,189.6
552,28.8919,40.9886,293.2,0.0,191.5
553,28.8948,40.9886,300.1,0.0,202.6
554,28.8978,40.9887,303.8,0.0,215.2
555,28.9008,40.9887,320.6,0.0,216.6
556,28.9037,40.9887,293.7,0.0,221.0
557,28.9067,40.9888,315.2,0.0,227.8
558,28.9097,40.9888,284.6,0.0,221.7
559,28.9127,40.9888,277.7,0.0,213.3
560,28.9156,40.9888,266.1,0.0,208.7
561,28.6750,40.9886,291.8,0.0,302.2
562,28.6780,40.9886,271.6,0.0,265.7
563,28.6809,40.9886,258.1,0.0,252.7
564,28.6839,40.9887,285.9,0.0,236.1
565,28.6869,40.9887,255.9,0.0,242.0
566,28.6898,40.9887,288.8,0.0,227.5
567,28.6928,40.9888,259.9,0.0,231.7
568,28.6958,40.9888,292.1,0.0,236.3
569,28.6988,40.9888,264.0,0.0,249.7
570,28.7017,40.9889,302.8,0.0,264.3
571,28.7047,40.9889,338.4,0.0,279.1
572,28.7077,40.9889,271.9,0.0,276.3
573,28.7106,40.9890,279.2,0.0,257.6
574,28.7136,40.9890,330.5,0.0,249.0
575,28.7166,40.9890,355.5,0.0,237.9
